dataset,arm,patch_size,tokens,nhead,nhead_recorded,pooling,embed_dim,balanced_accuracy,roc_auc,n_samples
brc_t2d_cancer,ps1024_nhead8_legacy,1024,128,8,,mean_pool,128,0.8328947368421052,0.9006578947368421,78
brc_t2d_cancer,ps1024_nhead8_legacy,1024,128,8,,flatten,16384,0.8585526315789473,0.9572368421052632,78
brc_t2d_cancer,ps1024_nhead4_true,1024,128,4,,mean_pool,128,0.7822368421052632,0.8651315789473684,78
brc_t2d_cancer,ps1024_nhead4_true,1024,128,4,,flatten,16384,0.8592105263157894,0.9342105263157896,78
brc_t2d_cancer,ps256,256,512,4,4.0,mean_pool,128,0.8085526315789473,0.8335526315789474,78
brc_t2d_cancer,ps256,256,512,4,4.0,flatten,65536,0.8322368421052632,0.8855263157894737,78
brc_t2d_cancer,ps128,128,1024,4,4.0,mean_pool,128,0.7164473684210526,0.7947368421052632,78
brc_t2d_cancer,ps128,128,1024,4,4.0,flatten,131072,0.7947368421052632,0.8460526315789474,78
brc_t2d_diabetes,ps1024_nhead8_legacy,1024,128,8,,mean_pool,128,0.8094919786096256,0.8489304812834224,78
brc_t2d_diabetes,ps1024_nhead8_legacy,1024,128,8,,flatten,16384,0.7800802139037433,0.8616310160427808,78
brc_t2d_diabetes,ps1024_nhead4_true,1024,128,4,,mean_pool,128,0.6871657754010696,0.7606951871657753,78
brc_t2d_diabetes,ps1024_nhead4_true,1024,128,4,,flatten,16384,0.7800802139037433,0.8088235294117647,78
brc_t2d_diabetes,ps256,256,512,4,4.0,mean_pool,128,0.7085561497326203,0.7546791443850267,78
brc_t2d_diabetes,ps256,256,512,4,4.0,flatten,65536,0.7834224598930482,0.8262032085561498,78
brc_t2d_diabetes,ps128,128,1024,4,4.0,mean_pool,128,0.6824866310160428,0.7633689839572193,78
brc_t2d_diabetes,ps128,128,1024,4,4.0,flatten,131072,0.749331550802139,0.7914438502673797,78
mtbls563,ps1024_nhead8_legacy,1024,128,8,,mean_pool,128,0.6072314781992202,0.7462339657886413,113
mtbls563,ps1024_nhead8_legacy,1024,128,8,,flatten,16384,0.6212040647524518,0.8020484199327544,113
mtbls563,ps1024_nhead4_true,1024,128,4,,mean_pool,128,0.587793926503604,0.7418890482489174,113
mtbls563,ps1024_nhead4_true,1024,128,4,,flatten,16384,0.6175558312655087,0.8184233031694053,113
mtbls563,ps256,256,512,4,4.0,mean_pool,128,0.5058489897199575,0.6977559995124439,113
mtbls563,ps256,256,512,4,4.0,flatten,65536,0.580689471818504,0.7527965697010677,113
mtbls563,ps128,128,1024,4,4.0,mean_pool,128,0.4607556422072551,0.6514260038461797,113
mtbls563,ps128,128,1024,4,4.0,flatten,131072,0.6164037575327898,0.7510892246972202,113
mtbls326,ps1024_nhead8_legacy,1024,128,8,,mean_pool,128,0.9444444444444444,1.0,42
mtbls326,ps1024_nhead8_legacy,1024,128,8,,flatten,16384,1.0,1.0,42
mtbls326,ps1024_nhead4_true,1024,128,4,,mean_pool,128,0.9481481481481482,0.9950617283950617,42
mtbls326,ps1024_nhead4_true,1024,128,4,,flatten,16384,1.0,1.0,42
mtbls326,ps256,256,512,4,4.0,mean_pool,128,0.874074074074074,0.8962962962962964,42
mtbls326,ps256,256,512,4,4.0,flatten,65536,0.9074074074074074,0.9481481481481482,42
mtbls326,ps128,128,1024,4,4.0,mean_pool,128,0.9111111111111111,0.962962962962963,42
mtbls326,ps128,128,1024,4,4.0,flatten,131072,0.9296296296296296,0.9851851851851853,42
barth,ps1024_nhead8_legacy,1024,128,8,,mean_pool,128,0.7701863354037267,0.8509316770186335,37
barth,ps1024_nhead8_legacy,1024,128,8,,flatten,16384,0.8059006211180124,0.8850931677018634,37
barth,ps1024_nhead4_true,1024,128,4,,mean_pool,128,0.6770186335403727,0.8416149068322981,37
barth,ps1024_nhead4_true,1024,128,4,,flatten,16384,0.8059006211180124,0.8913043478260869,37
barth,ps256,256,512,4,4.0,mean_pool,128,0.5838509316770186,0.6086956521739131,37
barth,ps256,256,512,4,4.0,flatten,65536,0.5978260869565217,0.6894409937888198,37
barth,ps128,128,1024,4,4.0,mean_pool,128,0.6195652173913043,0.7111801242236024,37
barth,ps128,128,1024,4,4.0,flatten,131072,0.65527950310559,0.7515527950310559,37
